subject_id,source_group,reference_regime,conditioning_key,mean_raw_l2,mean_clean_pair_l2,mean_clean_subject_l2,mean_roundtrip_ratio,n
backpack,base_easy_control,easy_control,class,-0.003109447110932076,-0.0008397245456291776,-0.0008397245456291776,9.488944177067733,200
backpack,base_easy_control,easy_control,class_context,-0.003122992743313759,-0.0010993301490284787,-0.0010993301490284787,2.105276931973971,200
backpack,base_easy_control,easy_control,null,-0.00330259620706431,3.5918607964996723e-06,3.5918607964996723e-06,2.58482855862915,200
backpack,base_hard_control,hard_control,class,0.060753263371956495,0.0630229859372594,0.0630229859372594,0.229254973743577,200
backpack,base_hard_control,hard_control,class_context,0.060693789762635626,0.0627174523569209,0.0627174523569209,0.21075349316102812,200
backpack,base_hard_control,hard_control,null,0.05946005885591989,0.06276624692378069,0.06276624692378069,0.29279897081246387,200
backpack,dreambooth_hard_reference,hard_reference,class,-0.015401746321438784,-0.013132023756135886,-0.013132023756135886,2.5012158661158046,300
backpack,dreambooth_hard_reference,hard_reference,class_context,-0.015205866672686126,-0.013182204078400846,-0.013182204078400846,3.7758982435449813,300
backpack,dreambooth_hard_reference,hard_reference,null,-0.016376935754238757,-0.013070747686377945,-0.013070747686377945,2.041733800572259,300
backpack,dreambooth_reference,standard_reference,class,-0.006582013130949244,-0.0043122905656463465,-0.0043122905656463465,0.8752251124276416,50
backpack,dreambooth_reference,standard_reference,class_context,-0.0063321447192335656,-0.004308482124948286,-0.004308482124948286,0.8568086754650811,50
backpack,dreambooth_reference,standard_reference,null,-0.007615585706673138,-0.004309397638812328,-0.004309397638812328,1.2793618620259846,50
backpack,vae_roundtrip_control,roundtrip_control,class,-0.002269722565302898,0.0,0.0,0.9999952952004204,50
backpack,vae_roundtrip_control,roundtrip_control,class_context,-0.0020236625942852797,0.0,0.0,0.9999946936640092,50
backpack,vae_roundtrip_control,roundtrip_control,null,-0.00330618806786081,0.0,0.0,0.9999943627687427,50
cat,base_easy_control,easy_control,class,-0.008221498398321066,-0.0576305787170571,-0.0576305787170571,104.38149974248292,200
cat,base_easy_control,easy_control,class_context,-0.0082097268281057,-0.05739739677969133,-0.05739739677969133,66.13686971315889,200
cat,base_easy_control,easy_control,null,-0.00810120139937373,-0.05356416141653294,-0.05356416141653294,31.20215897729153,200
cat,base_hard_control,hard_control,class,-0.014509339991713404,-0.06391842031044943,-0.06391842031044943,10.211313023952728,200
cat,base_hard_control,hard_control,class_context,-0.014766190616658204,-0.06395386056824383,-0.06395386056824383,10.475373490680566,200
cat,base_hard_control,hard_control,null,-0.016124831879212764,-0.061587791896371966,-0.061587791896371966,7.795123295708887,200
cat,dreambooth_hard_reference,hard_reference,class,0.027477920660366,-0.021931159658370034,-0.021931159658370034,2.6724876580646333,300
cat,dreambooth_hard_reference,hard_reference,class_context,0.027234237376534243,-0.021953432575051383,-0.021953432575051383,2.388620543271537,300
cat,dreambooth_hard_reference,hard_reference,null,0.023504727831628523,-0.021958232185530686,-0.021958232185530686,2.089002736883257,300
cat,dreambooth_reference,standard_reference,class,0.04465137827443453,-0.00475770204430151,-0.00475770204430151,1.2267166291405303,50
cat,dreambooth_reference,standard_reference,class_context,0.04443166801480494,-0.004756001936780687,-0.004756001936780687,8.230392894887885,50
cat,dreambooth_reference,standard_reference,null,0.04072230018085622,-0.00474065983630298,-0.00474065983630298,1.0113665947531658,50
cat,vae_roundtrip_control,roundtrip_control,class,0.04940908031873604,0.0,0.0,0.9999970818492073,50
cat,vae_roundtrip_control,roundtrip_control,class_context,0.049187669951585626,0.0,0.0,0.9999979092191249,50
cat,vae_roundtrip_control,roundtrip_control,null,0.04546296001715921,0.0,0.0,0.999999220031042,50
colorful_sneaker,base_easy_control,easy_control,class,0.0026061172188654442,-0.05567668349132597,-0.05567668349132597,15.998395580466154,200
colorful_sneaker,base_easy_control,easy_control,class_context,0.002484113087580162,-0.0554832741457545,-0.0554832741457545,19.491715654377977,200
colorful_sneaker,base_easy_control,easy_control,null,0.0027443397045179645,-0.054903423360660834,-0.054903423360660834,19.421083409008602,200
colorful_sneaker,base_hard_control,hard_control,class,-0.025218295825275915,-0.08350109653546733,-0.08350109653546733,11.034347048318491,200
colorful_sneaker,base_hard_control,hard_control,class_context,-0.02546646138223485,-0.0834338486155695,-0.0834338486155695,12.021807608844462,200
colorful_sneaker,base_hard_control,hard_control,null,-0.02542584567164558,-0.08307360873682437,-0.08307360873682437,11.586723419676389,200
colorful_sneaker,dreambooth_hard_reference,hard_reference,class,0.037930754313923384,-0.02035204639626802,-0.02035204639626802,2.3424332310437412,300
colorful_sneaker,dreambooth_hard_reference,hard_reference,class_context,0.03763881662323678,-0.02032857061009788,-0.02032857061009788,2.7473453594595307,300
colorful_sneaker,dreambooth_hard_reference,hard_reference,null,0.03710215286504885,-0.02054561020012995,-0.02054561020012995,2.1291057571326593,300
colorful_sneaker,dreambooth_reference,standard_reference,class,0.04725429168667833,-0.011028509023513086,-0.011028509023513086,1.3316701071379435,50
colorful_sneaker,dreambooth_reference,standard_reference,class_context,0.04695706740743016,-0.0110103198259045,-0.0110103198259045,1.369911171663986,50
colorful_sneaker,dreambooth_reference,standard_reference,null,0.04666380312141751,-0.0109839599437613,-0.0109839599437613,1.5908162988575894,50
colorful_sneaker,vae_roundtrip_control,roundtrip_control,class,0.05828280071019141,0.0,0.0,0.9999983127081156,50
colorful_sneaker,vae_roundtrip_control,roundtrip_control,class_context,0.057967387233334666,0.0,0.0,0.9999987818319096,50
colorful_sneaker,vae_roundtrip_control,roundtrip_control,null,0.057647763065178804,0.0,0.0,0.9999946415808766,50
dog,base_easy_control,easy_control,class,-0.0052085668673841476,-0.00826447573223231,-0.00826447573223231,762.2153603906528,200
dog,base_easy_control,easy_control,class_context,-0.005269462376447824,-0.00811093657077436,-0.00811093657077436,22.09482390493971,200
dog,base_easy_control,easy_control,null,-0.0042787700022276125,-0.006111626639351391,-0.006111626639351391,19.132697047186227,200
dog,base_hard_control,hard_control,class,-0.017888459493723252,-0.020944368358571414,-0.020944368358571414,10.080921549798914,200
dog,base_hard_control,hard_control,class_context,-0.01823164700879026,-0.021073121203116794,-0.021073121203116794,5.073659514180677,200
dog,base_hard_control,hard_control,null,-0.01896128818745861,-0.02079414482458239,-0.02079414482458239,2.6046537031357735,200
dog,dreambooth_hard_reference,hard_reference,class,-0.015719038573822463,-0.018774947438670624,-0.018774947438670624,1.539037166784149,300
dog,dreambooth_hard_reference,hard_reference,class_context,-0.0159058695865052,-0.01874734378083174,-0.01874734378083174,2.1703498279987925,300
dog,dreambooth_hard_reference,hard_reference,null,-0.017249480376664753,-0.01908233701378853,-0.01908233701378853,6.424703975986669,300
dog,dreambooth_reference,standard_reference,class,-0.002727181305240196,-0.005783090170088358,-0.005783090170088358,1.9080665154027283,50
dog,dreambooth_reference,standard_reference,class_context,-0.002919101899789554,-0.00576057609411609,-0.00576057609411609,1.8535596730343633,50
dog,dreambooth_reference,standard_reference,null,-0.004016481923467356,-0.005849338560591134,-0.005849338560591134,15.266682899117688,50
dog,vae_roundtrip_control,roundtrip_control,class,0.003055908864848162,0.0,0.0,0.9999991838574003,50
dog,vae_roundtrip_control,roundtrip_control,class_context,0.002841474194326536,0.0,0.0,0.9999992307501033,50
dog,vae_roundtrip_control,roundtrip_control,null,0.0018328566371237781,0.0,0.0,0.9999991951575967,50
dog7,base_easy_control,easy_control,class,-0.00521012783643795,-0.017687000580189044,-0.017687000580189044,81.7306197306111,200
dog7,base_easy_control,easy_control,class_context,-0.005241480616203978,-0.01744430576554277,-0.01744430576554277,89.54039890916229,200
dog7,base_easy_control,easy_control,null,-0.004278850046616362,-0.015631978578258213,-0.015631978578258213,18.741383641530273,200
dog7,base_hard_control,hard_control,class,-0.0028525947970544645,-0.01532946754080556,-0.01532946754080556,2.2804651898098305,200
dog7,base_hard_control,hard_control,class_context,-0.0029090063034281828,-0.01511183145276697,-0.01511183145276697,5.245330786263597,200
dog7,base_hard_control,hard_control,null,-0.0026983403441901803,-0.014051468875832031,-0.014051468875832031,3.646396680054297,200
dog7,dreambooth_hard_reference,hard_reference,class,-0.008345657223777997,-0.02082252996752909,-0.02082252996752909,4.511061925933265,300
dog7,dreambooth_hard_reference,hard_reference,class_context,-0.008594755699601128,-0.020797580848939918,-0.020797580848939918,5.125377411453163,300
dog7,dreambooth_hard_reference,hard_reference,null,-0.009631922307929848,-0.0209850508395717,-0.0209850508395717,4.220378368453383,300
dog7,dreambooth_reference,standard_reference,class,0.00592319233169145,-0.0065536804120596434,-0.0065536804120596434,0.9158133229404518,50
dog7,dreambooth_reference,standard_reference,class_context,0.005638595382364986,-0.006564229766973802,-0.006564229766973802,0.9219779653858271,50
dog7,dreambooth_reference,standard_reference,null,0.004806482654459078,-0.006546645877182774,-0.006546645877182774,0.9431637869011898,50
dog7,vae_roundtrip_control,roundtrip_control,class,0.012476872743751095,0.0,0.0,0.999997185414577,50
dog7,vae_roundtrip_control,roundtrip_control,class_context,0.012202825149338787,0.0,0.0,0.9999977314953648,50
dog7,vae_roundtrip_control,roundtrip_control,null,0.011353128531641853,0.0,0.0,0.9999983985826087,50
fancy_boot,base_easy_control,easy_control,class,-0.016747931790760923,0.003916511415209562,0.003916511415209562,6.261880979772359,200
fancy_boot,base_easy_control,easy_control,class_context,-0.016945738286463494,0.004092042475460822,0.004092042475460822,8.130293560285349,200
fancy_boot,base_easy_control,easy_control,null,-0.01653219127091761,0.004922500394397658,0.004922500394397658,6.957785792789789,200
fancy_boot,base_hard_control,hard_control,class,-0.051151756901946524,-0.030487313695976043,-0.030487313695976043,4.263058510043804,200
fancy_boot,base_hard_control,hard_control,class_context,-0.051519794575558595,-0.03048201381363428,-0.03048201381363428,7.8360726733731205,200
fancy_boot,base_hard_control,hard_control,null,-0.05136733883816917,-0.029912647172853902,-0.029912647172853902,3.1531795723391944,200
fancy_boot,dreambooth_hard_reference,hard_reference,class,-0.03355596116578694,-0.012891517959816455,-0.012891517959816455,0.741405376018241,300
fancy_boot,dreambooth_hard_reference,hard_reference,class_context,-0.03402851480897316,-0.012990734047048848,-0.012990734047048848,0.7371725570248929,300
fancy_boot,dreambooth_hard_reference,hard_reference,null,-0.03454596899723192,-0.01309127733191665,-0.01309127733191665,0.7305718692362948,300
fancy_boot,dreambooth_reference,standard_reference,class,-0.027708742706102848,-0.007044299500132364,-0.007044299500132364,0.7292041955380568,50
fancy_boot,dreambooth_reference,standard_reference,class_context,-0.028071362812246113,-0.0070335820503218014,-0.0070335820503218014,0.7357227146984938,50
fancy_boot,dreambooth_reference,standard_reference,null,-0.028567168241249486,-0.00711247657593422,-0.00711247657593422,0.7351299646414808,50
fancy_boot,vae_roundtrip_control,roundtrip_control,class,-0.020664443205970485,0.0,0.0,0.999999231715328,50
fancy_boot,vae_roundtrip_control,roundtrip_control,class_context,-0.021037780761924318,0.0,0.0,0.9999992854825139,50
fancy_boot,vae_roundtrip_control,roundtrip_control,null,-0.02145469166531527,0.0,0.0,0.9999992879318005,50
shiny_sneaker,base_easy_control,easy_control,class,0.0026072256585977526,-0.07837807170289197,-0.07837807170289197,21.57942714635572,200
shiny_sneaker,base_easy_control,easy_control,class_context,0.0024838474511214804,-0.07827665592017433,-0.07827665592017433,25.685805502485028,200
shiny_sneaker,base_easy_control,easy_control,null,0.0027418016385032835,-0.07723214186748588,-0.07723214186748588,24.29729708386775,200
shiny_sneaker,base_hard_control,hard_control,class,0.03109650407886881,-0.04988879328262092,-0.04988879328262092,2.4484009367284676,200
shiny_sneaker,base_hard_control,hard_control,class_context,0.030817221465518196,-0.04994328190577761,-0.04994328190577761,2.523978689900993,200
shiny_sneaker,base_hard_control,hard_control,null,0.030521746528335475,-0.04945219697765368,-0.04945219697765368,2.5906809734230847,200
shiny_sneaker,dreambooth_hard_reference,hard_reference,class,0.06387367367302405,-0.01711162368846569,-0.01711162368846569,1.9089442032972896,300
shiny_sneaker,dreambooth_hard_reference,hard_reference,class_context,0.06357802671031618,-0.017182476660979638,-0.017182476660979638,1.7506290861801346,300
shiny_sneaker,dreambooth_hard_reference,hard_reference,null,0.06290565126229501,-0.017068292243694147,-0.017068292243694147,1.9465441300458926,300
shiny_sneaker,dreambooth_reference,standard_reference,class,0.07143423865987968,-0.009551058701610054,-0.009551058701610054,1.266781813283081,50
shiny_sneaker,dreambooth_reference,standard_reference,class_context,0.07123166044360342,-0.009528842927692387,-0.009528842927692387,1.2100216379426305,50
shiny_sneaker,dreambooth_reference,standard_reference,null,0.07048849969467184,-0.009485443811317313,-0.009485443811317313,1.238989840080655,50
shiny_sneaker,vae_roundtrip_control,roundtrip_control,class,0.08098529736148974,0.0,0.0,0.9999968185352252,50
shiny_sneaker,vae_roundtrip_control,roundtrip_control,class_context,0.08076050337129581,0.0,0.0,0.9999734421033613,50
shiny_sneaker,vae_roundtrip_control,roundtrip_control,null,0.07997394350598916,0.0,0.0,0.999998236881689,50
vase,base_easy_control,easy_control,class,-0.006460900914248671,0.02735978398635922,0.02735978398635922,34.04662944033251,200
vase,base_easy_control,easy_control,class_context,-0.006536375762512362,0.02741259419886147,0.02741259419886147,41.249002047225915,200
vase,base_easy_control,easy_control,null,-0.006645581771048228,0.02780968546861224,0.02780968546861224,111.14741250197768,200
vase,base_hard_control,hard_control,class,0.011300243428349075,0.045120928328956963,0.045120928328956963,1.8893435094605036,200
vase,base_hard_control,hard_control,class_context,0.011515919177040358,0.045464889138414184,0.045464889138414184,1.88420620362697,200
vase,base_hard_control,hard_control,null,0.009965529036080402,0.044420796275740866,0.044420796275740866,1.9285942879929998,200
vase,dreambooth_hard_reference,hard_reference,class,-0.04588503476945184,-0.012064349868843955,-0.012064349868843955,4.938948553461459,300
vase,dreambooth_hard_reference,hard_reference,class_context,-0.04616185786656327,-0.012212887905189445,-0.012212887905189445,3.048364050864202,300
vase,dreambooth_hard_reference,hard_reference,null,-0.04671531984176928,-0.012260052602108811,-0.012260052602108811,2.922020096307012,300
vase,dreambooth_reference,standard_reference,class,-0.03859287730199605,-0.004772192401388161,-0.004772192401388161,0.9484690970053609,50
vase,dreambooth_reference,standard_reference,class_context,-0.038692530067394676,-0.004743560106020842,-0.004743560106020842,0.9447906446328518,50
vase,dreambooth_reference,standard_reference,null,-0.03923692536036824,-0.004781658120707768,-0.004781658120707768,0.9208089668299464,50
vase,vae_roundtrip_control,roundtrip_control,class,-0.033820684900607884,0.0,0.0,0.9999968517619213,50
vase,vae_roundtrip_control,roundtrip_control,class_context,-0.03394896996137384,0.0,0.0,0.9999985184397869,50
vase,vae_roundtrip_control,roundtrip_control,null,-0.03445526723966047,0.0,0.0,0.9999984187525846,50
